cust_id,order_date,net_sales,customerSource
cust13182,3/31/19,117.07,facebook
cust15436,3/31/19,344.5,facebook
cust16463,3/31/19,265.2,facebook
cust16755,3/31/19,93.7,facebook
cust17180,3/31/19,17.78,facebook
cust18392,3/31/19,416,facebook
cust18622,3/31/19,327.6,facebook
cust19031,3/31/19,750.32,facebook
cust19731,3/31/19,176.8,snapchat
cust20117,3/31/19,325,facebook
cust20236,3/31/19,538.2,facebook
cust20874,3/31/19,127.24,facebook
cust21563,3/31/19,151.58,facebook
cust21615,3/31/19,365,facebook
cust22198,3/31/19,195,facebook
cust23071,3/31/19,176.8,facebook
cust23101,3/31/19,300.47,facebook
cust23593,3/31/19,530.4,facebook
cust24168,3/31/19,176.8,facebook
cust24655,3/31/19,315.9,facebook
cust24870,3/31/19,325,facebook
cust25047,3/31/19,429.81,facebook
cust25136,3/31/19,102.67,facebook
cust257,3/31/19,205.4,facebook
cust25912,3/31/19,87.1,facebook
cust26350,3/31/19,397.8,facebook
cust27930,3/31/19,551.8,snapchat
cust27939,3/31/19,234,snapchat
cust27987,3/31/19,106.6,snapchat
cust29459,3/31/19,0,facebook
cust30259,3/31/19,129.01,snapchat
cust31098,3/31/19,0,facebook
cust31540,3/31/19,0,facebook
cust32660,3/31/19,251.12,facebook
cust32770,3/31/19,182,facebook
cust33010,3/31/19,10.24,facebook
cust33221,3/31/19,117.07,facebook
cust33443,3/31/19,358.33,snapchat
cust34766,3/31/19,117,snapchat
cust34778,3/31/19,1003.28,snapchat
cust34885,3/31/19,107.24,facebook
cust35362,3/31/19,234,snapchat
cust35619,3/31/19,787.72,facebook
cust35868,3/31/19,325,facebook
cust35868,3/31/19,715,facebook
cust36404,3/31/19,234,facebook
cust36477,3/31/19,0,snapchat
cust36617,3/31/19,98.14,facebook
cust422,3/31/19,140.99,facebook
cust4965,3/31/19,176.8,facebook
cust8122,3/31/19,219.02,facebook
cust10367,3/30/19,198.9,snapchat
cust1070,3/30/19,129.01,facebook
cust11437,3/30/19,441.16,facebook
cust14059,3/30/19,109.19,facebook
cust15929,3/30/19,187.2,facebook
cust17099,3/30/19,0,facebook
cust17626,3/30/19,159.25,facebook
cust17665,3/30/19,553.8,facebook
cust17940,3/30/19,234,facebook
cust19158,3/30/19,182,facebook
cust1973,3/30/19,123.5,facebook
cust21093,3/30/19,715,facebook
cust22717,3/30/19,0,facebook
cust23593,3/30/19,520,facebook
cust2457,3/30/19,585,facebook
cust24771,3/30/19,205.4,snapchat
cust25266,3/30/19,195,facebook
cust25431,3/30/19,198.9,snapchat
cust25530,3/30/19,117,snapchat
cust26386,3/30/19,307.57,snapchat
cust26949,3/30/19,0,snapchat
cust27964,3/30/19,116.09,snapchat
cust27964,3/30/19,232.21,snapchat
cust28089,3/30/19,88.4,facebook
cust28290,3/30/19,257.96,snapchat
cust29411,3/30/19,560.3,snapchat
cust29436,3/30/19,126.74,facebook
cust2991,3/30/19,194.92,tiktok
cust30259,3/30/19,194.92,snapchat
cust31071,3/30/19,68.67,facebook
cust31729,3/30/19,106.6,facebook
cust33375,3/30/19,107.67,facebook
cust33659,3/30/19,10.23,facebook
cust33863,3/30/19,105.3,snapchat
cust33863,3/30/19,189.54,snapchat
cust34298,3/30/19,0,facebook
cust34364,3/30/19,164.83,facebook
cust34364,3/30/19,348.28,facebook
cust34726,3/30/19,91.65,facebook
cust34822,3/30/19,139.74,facebook
cust34855,3/30/19,964.6,facebook
cust35216,3/30/19,331.1,facebook
cust35317,3/30/19,355.45,snapchat
cust35860,3/30/19,234,facebook
cust35898,3/30/19,195,facebook
cust3612,3/30/19,715,facebook
cust36165,3/30/19,129.01,facebook
cust36279,3/30/19,105.3,snapchat
cust36323,3/30/19,93.6,facebook
cust36355,3/30/19,325,facebook
cust36483,3/30/19,234,snapchat
cust36483,3/30/19,117,snapchat
cust36542,3/30/19,104.3,snapchat
cust36542,3/30/19,104.3,snapchat
cust36542,3/30/19,104.3,snapchat
cust36542,3/30/19,104.3,snapchat
cust36585,3/30/19,126.95,facebook
cust36586,3/30/19,93.7,snapchat
cust36587,3/30/19,124.02,snapchat
cust36588,3/30/19,129.01,snapchat
cust36589,3/30/19,143.3,facebook
cust36590,3/30/19,143,snapchat
cust36590,3/30/19,88.4,snapchat
cust36591,3/30/19,247,facebook
cust36592,3/30/19,124.02,snapchat
cust36593,3/30/19,205.4,facebook
cust36594,3/30/19,9.74,facebook
cust36595,3/30/19,0,facebook
cust36596,3/30/19,126.75,facebook
cust36597,3/30/19,124.02,snapchat
cust36598,3/30/19,501.32,snapchat
cust36599,3/30/19,147.55,facebook
cust36600,3/30/19,164.83,snapchat
cust36601,3/30/19,109.64,snapchat
cust36602,3/30/19,124.02,snapchat
cust36603,3/30/19,198.43,snapchat
cust36604,3/30/19,159.25,facebook
cust36605,3/30/19,248.04,snapchat
cust36606,3/30/19,103.35,facebook
cust36607,3/30/19,124.02,snapchat
cust36608,3/30/19,428.22,facebook
cust36609,3/30/19,97.86,facebook
cust36610,3/30/19,248.04,facebook
cust36611,3/30/19,315.9,snapchat
cust36612,3/30/19,210.6,facebook
cust36613,3/30/19,0,facebook
cust36614,3/30/19,325,facebook
cust36615,3/30/19,127.17,facebook
cust36616,3/30/19,117,snapchat
cust36617,3/30/19,126.74,facebook
cust36618,3/30/19,322.4,facebook
cust36619,3/30/19,97.46,snapchat
cust36620,3/30/19,223.24,snapchat
cust36620,3/30/19,105.3,snapchat
cust36621,3/30/19,239.85,facebook
cust36622,3/30/19,247,facebook
cust36623,3/30/19,0,facebook
